CÓDIGO;CÓDIGO_CORTO;ESTACIÓN;DIRECCION;LONGITUD_ETRS89;LATITUD_ETRS89;ALTITUD;VV (81);DV (82);T (83);HR (86);PB (87);RS (88);P (89);COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;NUM_VIA;COORDENADA_X_ETRS89;COORDENADA_Y_ETRS89;LONGITUD;LATITUD;
28079056;56;Plaza Elíptica;Pza. Elíptica - Avda. Oporto;"3°43'7.54""O";"40°23'6.10""N";605;X;X;X;X;X;;X;293200;PLAZA;;ELIPTICA;;438991,9161;4470741,548;-3.7187679;40.3850336;
28079058;58;El Pardo;Avda. La Guardia;"3°46'28.62""O";"40°31'4.97""N";612;;;X;X;;;;348500;AVENIDA;DE LA;GUARDIA;;434381,6;4485548,7;-3.7746101;40.5180701;
28079059;59;Juan Carlos I;Parque Juan Carlos I (frente oficinas mantenimiento);"3º 36' 33""O";40º 27' 55''N;660;X;X;X;X;X;X;X;;PARQUE;;JUAN CARLOS I;;447744,4666;4479077,678;-3.6163407;40.4607255;
28079102;102;J.M.D. Moratalaz;C/ Fuente Carantona, 8;3º 38' 13'' O;40º 23' 55'' N;687;X;X;X;X;X;X;X;315060;CALLE;DE LA;FUENTE CARRANTONA;8;445947,89;4472195,4;-3.63563705;40.39979278;
28079103;103;J.M.D. Villaverde;C/ Arroyo Bueno, 53;3º 42' 39'' O;40º 20' 58'' N;594;X;X;X;X;X;X;X;74200;CALLE;DEL;ARROYO BUENO;53;439633,65;4466785,76;-3.70952476;40.3506278;
28079104;104;E.D.A.R. La China;Embajadores;3º 40' 47'' O;40º 21' 57'' N;566;X;X;;;;;;262000;CALLE;DE;EMBAJADORES;;442177,66;4468453,71;-3.679722;40.3658333;
28079106;106;Centro Mpal. De Acústica;Autovía M-30 Km. 21.700;3º 44' 24'' O;40º 26' 32'' N;587;X;X;X;X;X;X;X;31001349;AUTOVÍA;;M-30;21,7;437130,68;4476974,19;-3.74;40.442222;
28079107;107;J.M.D. Hortaleza;Ctra. de Canillas, 2;3º 39' 24'' O;40º 27' 46'' N;715;X;X;X;X;X;X;X;133455;CARRETERA;DE;CANILLAS;2;444215,2;4479200,02;-3.656667;40.462778;
28079108;108;Peñagrande;C.D.M. Peñagrande;"  3°43'4.37""O";" 40°28'35.88""N";660;X;X;X;X;X;X;X;514425;AVENIDA;DE;MONFORTE DE LEMOS;184;439037,69;4480778,49;-3.717881;40.4766333;
28079109;109;J.M.D.Chamberí;Plaza de Chamberí, 4;"  3°41'49.02""O";" 40°25'54.88""N";678;;;X;X;;;;227900;PLAZA;DE;CHAMBERI;4;440772,75;4475799,91;-3.69695;40.4319111;
28079110;110;J.M.D.Centro;C/ Mayor, 72;"  3°42'38.85""O";" 40°24'56.16""N";647;;;X;X;;;;497800;CALLE;;MAYOR;72;439584,05;4473998,69;-3.710792;40.4156;
28079111;111;J.M.D.Chamartin;C/ Principe de Vergara, 142;"  3°40'40.64""O";" 40°26'41.61""N";704;;;X;X;;;;610450;CALLE;DEL;PRINCIPE DE VERGARA;42;442171,33;4474760,82;-3.6803686;40.4226491;
28079112;112;J.M.D.Vallecas 1;Avda. Albufera, 42;"  3°39'59.24""O";" 40°23'47.30""N";607;;;X;X;;;;18600;AVENIDA;DE LA;ALBUFERA;42;443329,69;4471846,08;-3.666456;40.396472;
28079113;113;J.M.D.Vallecas 2;Avda. Albufera, 42;"  3°39'59.24""O";" 40°23'47.30""N";607;;;X;X;;;;18600;AVENIDA;DE LA;ALBUFERA;;443329,69;4471846,08;-3.666456;40.396472;
28079114;114;Matadero 01;Paseo de la Chopera, 10;"  3°41'51.47""O";" 40°23'33.16""N";570;;;X;X;;;;230600;PASEO;DE LA;CHOPERA;10;440680,48;4471430,55;-3.697631;40.3925444;
28079115;115;Matadero 02;Paseo de la Chopera, 10;"  3°41'51.47""O";" 40°23'33.16""N";570;;;X;X;;;;230600;PASEO;DE LA;CHOPERA;10;440680,48;4471430,55;-3.697631;40.3925444;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
